gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Fcer1g	92.61492292494522	2.7530536405211503	0.2575959325413726	10.687488786644492	1.164821633989298e-26	8.334110916736332e-25	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Smad3	34.75048835188646	1.784158834204078	0.16793095356922086	10.624359573285282	2.2958253259214875e-26	1.629484983326035e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ssh2	37.14336711749158	1.5854404796652728	0.14981941586606484	10.582343219670678	3.598444160082465e-26	2.533761633988225e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ifi27l2a	42.62448796178871	-2.987813150759538	0.28283086550257974	-10.563957174371003	4.378074984756387e-26	3.0584473436817846e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Adam9	41.896059883047556	1.610179178117483	0.15258848554557383	10.552429119145877	4.9500498868642344e-26	3.431003327832773e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Birc3	70.18195149513424	1.0987315285280301	0.10414841561684413	10.549671082565467	5.0975230124068505e-26	3.505831330703378e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ndel1	29.74046389647718	1.7428985918359898	0.16535479600330955	10.540357062283855	5.628479079630246e-26	3.841220491883041e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dgat1	62.20398994984605	1.8953397150716436	0.18015313092750213	10.520714823626202	6.934546148023064e-26	4.6964346126153154e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Themis	28.10243405145877	-3.521713116789978	0.33618599498442386	-10.475490262326797	1.1195598690112794e-25	7.524799362021267e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Cd226	38.727022276396816	-1.9446944273770321	0.1856695906747453	-10.473952252007352	1.1379064559774156e-25	7.545986645986575e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Tgfb1	99.87931857916826	1.109849981924878	0.10596439142158699	10.473801312265925	1.1397229605074404e-25	7.545986645986575e-24	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Kpna1	70.99185552225805	1.1594672362722838	0.1111737212264311	10.429328293426101	1.821715153846962e-25	1.1972042107355739e-23	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Trp53inp2	15.514154316604548	2.1856809841108786	0.21063282389992652	10.376734943976798	3.1641198600671744e-25	2.064122896949704e-23	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Car2	70.7665758144412	2.71689147768064	0.26208055992965185	10.366627263044283	3.5172020134915307e-25	2.277709216328238e-23	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
